Date,Sales
2022-01-01,54
2022-01-02,49
2022-01-03,57
2022-01-04,67
2022-01-05,50
2022-01-06,51
2022-01-07,70
2022-01-08,62
2022-01-09,51
2022-01-10,62
2022-01-11,52
2022-01-12,53
2022-01-13,61
2022-01-14,40
2022-01-15,43
2022-01-16,55
2022-01-17,51
2022-01-18,65
2022-01-19,54
2022-01-20,49
2022-01-21,51
2022-01-22,62
2022-01-23,66
2022-01-24,52
2022-01-25,61
2022-01-26,68
2022-01-27,56
2022-01-28,71
2022-01-29,63
2022-01-30,67
2022-01-31,64
2022-02-01,89
2022-02-02,71
2022-02-03,61
2022-02-04,81
2022-02-05,61
2022-02-06,64
2022-02-07,55
2022-02-08,61
2022-02-09,77
2022-02-10,83
2022-02-11,78
2022-02-12,75
2022-02-13,74
2022-02-14,52
2022-02-15,70
2022-02-16,56
2022-02-17,70
2022-02-18,82
2022-02-19,61
2022-02-20,67
2022-02-21,53
2022-02-22,73
2022-02-23,86
2022-02-24,63
2022-02-25,58
2022-02-26,73
2022-02-27,78
2022-02-28,51
2022-03-01,91
2022-03-02,77
2022-03-03,80
2022-03-04,71
2022-03-05,70
2022-03-06,57
2022-03-07,96
2022-03-08,82
2022-03-09,93
2022-03-10,86
2022-03-11,76
2022-03-12,86
2022-03-13,53
2022-03-14,51
2022-03-15,55
2022-03-16,56
2022-03-17,53
2022-03-18,83
2022-03-19,79
2022-03-20,83
2022-03-21,62
2022-03-22,80
2022-03-23,86
2022-03-24,83
2022-03-25,77
2022-03-26,74
2022-03-27,76
2022-03-28,63
2022-03-29,84
2022-03-30,76
2022-03-31,64
2022-04-01,81
2022-04-02,90
2022-04-03,73
2022-04-04,76
2022-04-05,76
2022-04-06,65
2022-04-07,82
2022-04-08,81
2022-04-09,78
2022-04-10,73
2022-04-11,64
2022-04-12,73
2022-04-13,74
2022-04-14,69
2022-04-15,75
2022-04-16,64
2022-04-17,94
2022-04-18,77
2022-04-19,78
2022-04-20,74
2022-04-21,55
2022-04-22,74
2022-04-23,50
2022-04-24,57
2022-04-25,71
2022-04-26,76
2022-04-27,60
2022-04-28,61
2022-04-29,57
2022-04-30,79
2022-05-01,79
2022-05-02,62
2022-05-03,54
2022-05-04,56
2022-05-05,76
2022-05-06,56
2022-05-07,59
2022-05-08,63
2022-05-09,61
2022-05-10,63
2022-05-11,52
2022-05-12,68
2022-05-13,57
2022-05-14,72
2022-05-15,58
2022-05-16,82
2022-05-17,59
2022-05-18,63
2022-05-19,74
2022-05-20,53
2022-05-21,68
2022-05-22,78
2022-05-23,49
2022-05-24,67
2022-05-25,67
2022-05-26,52
2022-05-27,50
2022-05-28,51
2022-05-29,69
2022-05-30,63
2022-05-31,66
2022-06-01,58
2022-06-02,57
2022-06-03,64
2022-06-04,66
2022-06-05,56
2022-06-06,82
2022-06-07,68
2022-06-08,52
2022-06-09,70
2022-06-10,54
2022-06-11,71
2022-06-12,53
2022-06-13,55
2022-06-14,72
2022-06-15,64
2022-06-16,72
2022-06-17,78
2022-06-18,62
2022-06-19,57
2022-06-20,56
2022-06-21,57
2022-06-22,64
2022-06-23,69
2022-06-24,68
2022-06-25,74
2022-06-26,66
2022-06-27,81
2022-06-28,64
2022-06-29,94
2022-06-30,55
2022-07-01,59
2022-07-02,57
2022-07-03,73
2022-07-04,66
2022-07-05,76
2022-07-06,74
2022-07-07,69
2022-07-08,62
2022-07-09,55
2022-07-10,67
2022-07-11,80
2022-07-12,50
2022-07-13,60
2022-07-14,75
2022-07-15,77
2022-07-16,52
2022-07-17,76
2022-07-18,76
2022-07-19,64
2022-07-20,58
2022-07-21,83
2022-07-22,86
2022-07-23,89
2022-07-24,65
2022-07-25,70
2022-07-26,73
2022-07-27,86
2022-07-28,87
2022-07-29,81
2022-07-30,88
2022-07-31,95
2022-08-01,94
2022-08-02,91
2022-08-03,82
2022-08-04,94
2022-08-05,61
2022-08-06,85
2022-08-07,51
2022-08-08,52
2022-08-09,105
2022-08-10,72
2022-08-11,98
2022-08-12,51
2022-08-13,51
2022-08-14,104
2022-08-15,95
2022-08-16,84
2022-08-17,89
2022-08-18,103
2022-08-19,50
2022-08-20,68
2022-08-21,51
2022-08-22,93
2022-08-23,93
2022-08-24,107
2022-08-25,81
2022-08-26,104
2022-08-27,81
2022-08-28,113
2022-08-29,97
2022-08-30,104
2022-08-31,105
2022-09-01,66
2022-09-02,87
2022-09-03,73
2022-09-04,104
2022-09-05,103
2022-09-06,119
2022-09-07,115
2022-09-08,60
2022-09-09,65
2022-09-10,134
2022-09-11,122
2022-09-12,99
2022-09-13,110
2022-09-14,128
2022-09-15,109
2022-09-16,52
2022-09-17,69
2022-09-18,108
2022-09-19,85
2022-09-20,68
2022-09-21,109
2022-09-22,116
2022-09-23,68
2022-09-24,69
2022-09-25,107
2022-09-26,118
2022-09-27,101
2022-09-28,82
2022-09-29,89
2022-09-30,88
2022-10-01,124
2022-10-02,50
2022-10-03,60
2022-10-04,127
2022-10-05,106
2022-10-06,127
2022-10-07,99
2022-10-08,72
2022-10-09,80
2022-10-10,143
2022-10-11,91
2022-10-12,148
2022-10-13,56
2022-10-14,65
2022-10-15,134
2022-10-16,109
2022-10-17,51
2022-10-18,50
2022-10-19,97
2022-10-20,61
2022-10-21,118
2022-10-22,86
2022-10-23,81
2022-10-24,58
2022-10-25,133
2022-10-26,68
2022-10-27,97
2022-10-28,122
2022-10-29,52
2022-10-30,69
2022-10-31,73
2022-11-01,103
2022-11-02,82
2022-11-03,73
2022-11-04,124
2022-11-05,121
2022-11-06,85
2022-11-07,87
2022-11-08,133
2022-11-09,137
2022-11-10,137
2022-11-11,142
2022-11-12,74
2022-11-13,135
2022-11-14,67
2022-11-15,131
2022-11-16,115
2022-11-17,103
2022-11-18,84
2022-11-19,119
2022-11-20,110
2022-11-21,90
2022-11-22,114
2022-11-23,82
2022-11-24,117
2022-11-25,82
2022-11-26,63
2022-11-27,70
2022-11-28,97
2022-11-29,69
2022-11-30,57
2022-12-01,56
2022-12-02,116
2022-12-03,66
2022-12-04,82
2022-12-05,97
2022-12-06,116
2022-12-07,108
2022-12-08,123
2022-12-09,71
2022-12-10,79
2022-12-11,87
2022-12-12,100
2022-12-13,103
2022-12-14,57
2022-12-15,76
2022-12-16,76
2022-12-17,121
2022-12-18,70
2022-12-19,79
2022-12-20,115
2022-12-21,77
2022-12-22,106
2022-12-23,116
2022-12-24,113
2022-12-25,110
2022-12-26,97
2022-12-27,68
2022-12-28,53
2022-12-29,84
2022-12-30,113
2022-12-31,98
2023-01-01,66
2023-01-02,93
2023-01-03,113
2023-01-04,79
2023-01-05,105
2023-01-06,95
2023-01-07,55
2023-01-08,126
2023-01-09,86
2023-01-10,73
2023-01-11,104
2023-01-12,95
2023-01-13,102
2023-01-14,133
2023-01-15,103
2023-01-16,102
2023-01-17,105
2023-01-18,89
2023-01-19,105
2023-01-20,81
2023-01-21,112
2023-01-22,82
2023-01-23,116
2023-01-24,67
2023-01-25,74
2023-01-26,102
2023-01-27,103
2023-01-28,98
2023-01-29,116
2023-01-30,95
2023-01-31,73
2023-02-01,81
2023-02-02,96
2023-02-03,110
2023-02-04,72
2023-02-05,96
2023-02-06,76
2023-02-07,51
2023-02-08,113
2023-02-09,66
2023-02-10,82
2023-02-11,58
2023-02-12,92
2023-02-13,97
2023-02-14,88
2023-02-15,122
2023-02-16,91
2023-02-17,75
2023-02-18,128
2023-02-19,99
2023-02-20,74
2023-02-21,73
2023-02-22,62
2023-02-23,109
2023-02-24,56
2023-02-25,106
2023-02-26,85
2023-02-27,94
2023-02-28,69
2023-03-01,114
2023-03-02,57
2023-03-03,65
2023-03-04,63
2023-03-05,125
2023-03-06,106
2023-03-07,64
2023-03-08,104
2023-03-09,123
2023-03-10,115
2023-03-11,81
2023-03-12,128
2023-03-13,112
2023-03-14,115
2023-03-15,100
2023-03-16,74
2023-03-17,107
2023-03-18,112
2023-03-19,111
2023-03-20,71
2023-03-21,107
2023-03-22,107
2023-03-23,135
2023-03-24,98
