Date,Sales
2022-01-01,54
2022-01-02,49
2022-01-03,57
2022-01-04,67
2022-01-05,50
2022-01-06,51
2022-01-07,70
2022-01-08,62
2022-01-09,51
2022-01-10,62
2022-01-11,52
2022-01-12,53
2022-01-13,61
2022-01-14,40
2022-01-15,43
2022-01-16,55
2022-01-17,51
2022-01-18,65
2022-01-19,54
2022-01-20,49
2022-01-21,79
2022-01-22,62
2022-01-23,66
2022-01-24,52
2022-01-25,61
2022-01-26,68
2022-01-27,56
2022-01-28,72
2022-01-29,63
2022-01-30,67
2022-01-31,64
2022-02-01,89
2022-02-02,71
2022-02-03,61
2022-02-04,81
2022-02-05,61
2022-02-06,76
2022-02-07,55
2022-02-08,61
2022-02-09,77
2022-02-10,83
2022-02-11,78
2022-02-12,75
2022-02-13,74
2022-02-14,62
2022-02-15,70
2022-02-16,73
2022-02-17,89
2022-02-18,82
2022-02-19,61
2022-02-20,83
2022-02-21,76
2022-02-22,73
2022-02-23,86
2022-02-24,91
2022-02-25,90
2022-02-26,73
2022-02-27,78
2022-02-28,85
2022-03-01,91
2022-03-02,77
2022-03-03,80
2022-03-04,71
2022-03-05,70
2022-03-06,90
2022-03-07,96
2022-03-08,82
2022-03-09,93
2022-03-10,86
2022-03-11,76
2022-03-12,86
2022-03-13,98
2022-03-14,82
2022-03-15,98
2022-03-16,56
2022-03-17,91
2022-03-18,83
2022-03-19,79
2022-03-20,83
2022-03-21,62
2022-03-22,80
2022-03-23,86
2022-03-24,97
2022-03-25,77
2022-03-26,74
2022-03-27,76
2022-03-28,90
2022-03-29,84
2022-03-30,76
2022-03-31,86
2022-04-01,81
2022-04-02,90
2022-04-03,73
2022-04-04,76
2022-04-05,76
2022-04-06,65
2022-04-07,82
2022-04-08,81
2022-04-09,78
2022-04-10,76
2022-04-11,64
2022-04-12,73
2022-04-13,74
2022-04-14,69
2022-04-15,75
2022-04-16,80
2022-04-17,95
2022-04-18,77
2022-04-19,78
2022-04-20,74
2022-04-21,55
2022-04-22,74
2022-04-23,75
2022-04-24,98
2022-04-25,71
2022-04-26,76
2022-04-27,72
2022-04-28,61
2022-04-29,83
2022-04-30,79
2022-05-01,79
2022-05-02,62
2022-05-03,85
2022-05-04,56
2022-05-05,76
2022-05-06,91
2022-05-07,59
2022-05-08,63
2022-05-09,70
2022-05-10,63
2022-05-11,52
2022-05-12,68
2022-05-13,57
2022-05-14,72
2022-05-15,58
2022-05-16,82
2022-05-17,59
2022-05-18,63
2022-05-19,74
2022-05-20,53
2022-05-21,68
2022-05-22,78
2022-05-23,49
2022-05-24,67
2022-05-25,67
2022-05-26,72
2022-05-27,52
2022-05-28,51
2022-05-29,69
2022-05-30,67
2022-05-31,66
2022-06-01,67
2022-06-02,57
2022-06-03,66
2022-06-04,66
2022-06-05,56
2022-06-06,82
2022-06-07,68
2022-06-08,52
2022-06-09,70
2022-06-10,54
2022-06-11,71
2022-06-12,75
2022-06-13,55
2022-06-14,73
2022-06-15,68
2022-06-16,72
2022-06-17,83
2022-06-18,62
2022-06-19,57
2022-06-20,56
2022-06-21,57
2022-06-22,64
2022-06-23,69
2022-06-24,68
2022-06-25,74
2022-06-26,66
2022-06-27,81
2022-06-28,64
2022-06-29,94
2022-06-30,73
2022-07-01,59
2022-07-02,57
2022-07-03,73
2022-07-04,66
2022-07-05,76
2022-07-06,74
2022-07-07,69
2022-07-08,62
2022-07-09,55
2022-07-10,67
2022-07-11,80
2022-07-12,74
2022-07-13,60
2022-07-14,75
2022-07-15,77
2022-07-16,65
2022-07-17,76
2022-07-18,76
2022-07-19,64
2022-07-20,80
2022-07-21,83
2022-07-22,88
2022-07-23,89
2022-07-24,65
2022-07-25,70
2022-07-26,85
2022-07-27,86
2022-07-28,87
2022-07-29,121
2022-07-30,88
2022-07-31,95
2022-08-01,94
2022-08-02,91
2022-08-03,82
2022-08-04,94
2022-08-05,79
2022-08-06,85
2022-08-07,84
2022-08-08,90
2022-08-09,113
2022-08-10,72
2022-08-11,98
2022-08-12,76
2022-08-13,88
2022-08-14,104
2022-08-15,95
2022-08-16,84
2022-08-17,89
2022-08-18,103
2022-08-19,90
2022-08-20,100
2022-08-21,99
2022-08-22,93
2022-08-23,122
2022-08-24,107
2022-08-25,82
2022-08-26,104
2022-08-27,97
2022-08-28,113
2022-08-29,97
2022-08-30,104
2022-08-31,111
2022-09-01,116
2022-09-02,96
2022-09-03,105
2022-09-04,104
2022-09-05,103
2022-09-06,128
2022-09-07,115
2022-09-08,99
2022-09-09,122
2022-09-10,134
2022-09-11,124
2022-09-12,99
2022-09-13,110
2022-09-14,128
2022-09-15,109
2022-09-16,121
2022-09-17,125
2022-09-18,109
2022-09-19,118
2022-09-20,87
2022-09-21,109
2022-09-22,118
2022-09-23,108
2022-09-24,138
2022-09-25,107
2022-09-26,118
2022-09-27,124
2022-09-28,138
2022-09-29,109
2022-09-30,136
2022-10-01,124
2022-10-02,115
2022-10-03,130
2022-10-04,127
2022-10-05,120
2022-10-06,127
2022-10-07,123
2022-10-08,128
2022-10-09,134
2022-10-10,143
2022-10-11,115
2022-10-12,149
2022-10-13,109
2022-10-14,127
2022-10-15,134
2022-10-16,132
2022-10-17,123
2022-10-18,127
2022-10-19,124
2022-10-20,123
2022-10-21,138
2022-10-22,133
2022-10-23,123
2022-10-24,139
2022-10-25,133
2022-10-26,138
2022-10-27,136
2022-10-28,122
2022-10-29,124
2022-10-30,137
2022-10-31,136
2022-11-01,130
2022-11-02,131
2022-11-03,142
2022-11-04,124
2022-11-05,135
2022-11-06,127
2022-11-07,127
2022-11-08,140
2022-11-09,137
2022-11-10,137
2022-11-11,142
2022-11-12,129
2022-11-13,135
2022-11-14,125
2022-11-15,131
2022-11-16,126
2022-11-17,128
2022-11-18,133
2022-11-19,119
2022-11-20,148
2022-11-21,116
2022-11-22,114
2022-11-23,137
2022-11-24,133
2022-11-25,131
2022-11-26,131
2022-11-27,125
2022-11-28,115
2022-11-29,125
2022-11-30,117
2022-12-01,133
2022-12-02,122
2022-12-03,114
2022-12-04,119
2022-12-05,126
2022-12-06,116
2022-12-07,113
2022-12-08,123
2022-12-09,123
2022-12-10,115
2022-12-11,115
2022-12-12,122
2022-12-13,105
2022-12-14,105
2022-12-15,111
2022-12-16,116
2022-12-17,121
2022-12-18,132
2022-12-19,126
2022-12-20,115
2022-12-21,116
2022-12-22,106
2022-12-23,116
2022-12-24,113
2022-12-25,119
2022-12-26,107
2022-12-27,120
2022-12-28,130
2022-12-29,113
2022-12-30,118
2022-12-31,121
2023-01-01,109
2023-01-02,115
2023-01-03,113
2023-01-04,114
2023-01-05,105
2023-01-06,113
2023-01-07,117
2023-01-08,126
2023-01-09,121
2023-01-10,133
2023-01-11,104
2023-01-12,120
2023-01-13,113
2023-01-14,133
2023-01-15,103
2023-01-16,102
2023-01-17,105
2023-01-18,89
2023-01-19,105
2023-01-20,103
2023-01-21,112
2023-01-22,114
2023-01-23,129
2023-01-24,120
2023-01-25,105
2023-01-26,102
2023-01-27,116
2023-01-28,98
2023-01-29,129
2023-01-30,123
2023-01-31,106
2023-02-01,94
2023-02-02,125
2023-02-03,110
2023-02-04,124
2023-02-05,96
2023-02-06,106
2023-02-07,112
2023-02-08,113
2023-02-09,108
2023-02-10,119
2023-02-11,103
2023-02-12,112
2023-02-13,115
2023-02-14,119
2023-02-15,122
2023-02-16,104
2023-02-17,100
2023-02-18,128
2023-02-19,119
2023-02-20,109
2023-02-21,132
2023-02-22,118
2023-02-23,129
2023-02-24,119
2023-02-25,139
2023-02-26,137
2023-02-27,117
2023-02-28,130
2023-03-01,127
2023-03-02,135
2023-03-03,112
2023-03-04,129
2023-03-05,133
2023-03-06,106
2023-03-07,112
2023-03-08,104
2023-03-09,123
2023-03-10,133
2023-03-11,142
2023-03-12,128
2023-03-13,144
2023-03-14,115
2023-03-15,112
2023-03-16,129
2023-03-17,134
2023-03-18,131
2023-03-19,111
2023-03-20,132
2023-03-21,120
2023-03-22,141
2023-03-23,138
2023-03-24,126
