,predicted_mean
2024-01-01,214.85301726357199
2024-01-02,214.1135165202998
2024-01-03,214.9064471466942
2024-01-04,214.58698081659566
2024-01-05,213.25564986004719
2024-01-06,213.67634374521919
2024-01-07,214.15896317795102
2024-01-08,214.0700100075805
2024-01-09,214.17902933196103
2024-01-10,213.99701182827593
2024-01-11,213.87474802791067
2024-01-12,213.99643782415717
2024-01-13,214.03065524628877
2024-01-14,214.02677490127823
2024-01-15,214.0276499000604
2024-01-16,213.9903499733671
2024-01-17,213.99008598402716
2024-01-18,214.00955726278144
2024-01-19,214.0106045690184
2024-01-20,214.0106904346878
2024-01-21,214.0074677962579
2024-01-22,214.0026403422704
2024-01-23,214.00508454627013
2024-01-24,214.0073878342512
2024-01-25,214.00722209827916
2024-01-26,214.0070614459082
2024-01-27,214.00618327762302
2024-01-28,214.00585575689664
2024-01-29,214.00644198972532
2024-01-30,214.00664394434602
